timestamp,source_id,destination_id,packet_type,packet_size_bytes,data_rate_mbps,signal_strength_rssi,throughput_kbps,latency_ms,is_anomaly,anomaly_type
2026-06-13 12:00:04.410,Node_019,Node_028,BSM,913,11.57,-45.2,84.51,5.42,0,Normal
2026-06-13 12:00:04.824,Node_010,Node_013,TCP_ACK,64,4.97,-46.3,2.54,5.279999999999999,0,Normal
2026-06-13 12:00:05.476,Node_004,Node_048,BSM,521,2.57,-61.6,10.71,6.38,0,Normal
2026-06-13 12:00:05.510,Node_011,Node_004,BSM,1183,37.93,-109.0,67.01,1.81,1,Sybil_Spoofing
2026-06-13 12:00:02.847,Node_038,Node_039,DENM,240,8.19,-68.2,15.72,6.96,0,Normal
2026-06-13 12:00:05.720,Node_021,Node_017,DENM,409,8.7,-72.4,28.47,5.98,0,Normal
2026-06-13 12:00:01.763,Node_043,Node_042,CAM,507,6.57,-47.8,26.65,6.4,0,Normal
2026-06-13 12:00:00.504,Node_030,Node_040,CAM,776,11.96,-82.1,74.25,4.93,0,Normal
2026-06-13 12:00:03.311,Node_009,Node_023,DENM,1102,2.69,-75.2,23.72,8.129999999999999,0,Normal
2026-06-13 12:00:05.368,Node_035,Node_046,UDP_STREAM,509,8.12,-45.5,33.06,5.82,0,Normal
2026-06-13 12:00:00.540,Node_043,Node_036,BSM,506,11.32,-80.9,45.82,4.859999999999999,0,Normal
2026-06-13 12:00:03.542,Node_008,Node_007,CAM,960,7.53,-74.1,57.83,6.21,0,Normal
2026-06-13 12:00:04.559,Node_014,Node_044,CAM,849,10.53,-64.8,71.52,5.9399999999999995,0,Normal
2026-06-13 12:00:01.104,Node_006,Node_041,UDP_STREAM,633,10.29,-83.2,52.11,7.21,0,Normal
2026-06-13 12:00:02.107,Node_041,Node_017,TCP_ACK,64,3.62,-67.3,1.85,8.34,0,Normal
2026-06-13 12:00:00.600,Node_008,Node_005,TCP_ACK,64,11.45,-57.4,5.86,8.76,0,Normal
2026-06-13 12:00:00.969,Node_024,Node_038,UDP_STREAM,1446,89.95,-67.8,1040.54,272.09,1,DoS_Flooding
2026-06-13 12:00:01.040,Node_023,Node_014,CAM,898,4.5,-80.9,32.33,6.15,0,Normal
2026-06-13 12:00:06.042,Node_040,Node_048,DENM,358,11.26,-75.5,32.25,6.01,0,Normal
2026-06-13 12:00:02.970,Node_027,Node_002,TCP_ACK,64,3.79,-48.0,1.94,4.02,0,Normal
2026-06-13 12:00:06.325,Node_043,Node_048,CAM,1030,4.48,-78.6,36.92,6.97,0,Normal
2026-06-13 12:00:05.992,Node_003,Node_031,CAM,427,4.0,-48.3,13.66,7.13,0,Normal
2026-06-13 12:00:03.876,Node_015,Node_002,CAM,875,3.93,-71.9,27.51,6.26,0,Normal
2026-06-13 12:00:04.698,Node_023,Node_042,DENM,721,6.0,-45.8,34.61,5.38,0,Normal
2026-06-13 12:00:01.003,Node_008,Node_017,UDP_STREAM,1476,66.73,-45.7,787.95,256.21,1,DoS_Flooding
2026-06-13 12:00:05.400,Node_028,Node_039,UDP_STREAM,723,3.16,-49.0,18.28,6.46,0,Normal
2026-06-13 12:00:01.281,Node_046,Node_028,CAM,201,7.2,-52.7,11.58,4.71,0,Normal
2026-06-13 12:00:03.720,Node_024,Node_028,CAM,271,11.49,-48.2,24.91,6.62,0,Normal
2026-06-13 12:00:02.583,Node_047,Node_020,DENM,719,5.09,-68.7,29.28,5.9399999999999995,0,Normal
2026-06-13 12:00:05.440,Node_036,Node_009,CAM,396,6.2,-47.4,19.64,7.17,0,Normal
2026-06-13 12:00:03.510,Node_040,Node_037,CAM,508,6.06,-51.7,24.63,6.15,0,Normal
2026-06-13 12:00:04.158,Node_028,Node_038,CAM,821,8.55,-66.4,56.16,6.96,0,Normal
2026-06-13 12:00:04.288,Node_033,Node_031,CAM,1012,11.01,-53.2,89.14,6.47,0,Normal
2026-06-13 12:00:02.108,Node_019,Node_033,BSM,879,8.33,-71.6,58.58,5.55,0,Normal
2026-06-13 12:00:04.830,Node_044,Node_020,UDP_STREAM,1460,75.56,-79.1,882.54,265.59,1,DoS_Flooding
2026-06-13 12:00:08.820,Node_027,Node_041,CAM,789,3.94,-57.1,24.87,8.83,0,Normal
2026-06-13 12:00:05.112,Node_010,Node_042,DENM,904,2.06,-55.0,14.9,8.809999999999999,0,Normal
2026-06-13 12:00:02.664,Node_050,Node_028,CAM,424,3.76,-46.7,12.75,5.87,0,Normal
2026-06-13 12:00:01.606,Node_036,Node_016,CAM,1139,10.48,-66.7,95.49,7.91,0,Normal
2026-06-13 12:00:10.730,Node_036,Node_039,CAM,524,11.5,-49.3,48.21,9.48,0,Normal
2026-06-13 12:00:10.425,Node_028,Node_036,CAM,656,10.97,-55.3,57.57,7.82,0,Normal
2026-06-13 12:00:05.776,Node_049,Node_016,DENM,1060,8.38,-54.4,71.06,7.45,0,Normal
2026-06-13 12:00:05.467,Node_018,Node_029,CAM,279,9.14,-75.6,20.4,5.109999999999999,0,Normal
2026-06-13 12:00:11.544,Node_006,Node_009,BSM,354,4.31,-57.2,12.21,7.4,0,Normal
2026-06-13 12:00:02.054,Node_027,Node_022,CAM,755,6.66,-82.5,40.23,6.27,0,Normal
2026-06-13 12:00:08.720,Node_050,Node_038,CAM,1168,8.96,-50.7,83.72,6.03,0,Normal
2026-06-13 12:00:08.667,Node_031,Node_001,BSM,1165,5.52,-54.9,51.45,7.3,0,Normal
2026-06-13 12:00:09.594,Node_035,Node_048,TCP_ACK,64,9.35,-53.0,4.79,8.75,0,Normal
2026-06-13 12:00:11.122,Node_015,Node_018,CAM,646,6.86,-69.4,35.45,11.6,0,Normal
2026-06-13 12:00:09.492,Node_047,Node_011,CAM,1060,6.67,-79.9,56.56,4.91,0,Normal
2026-06-13 12:00:01.360,Node_026,Node_038,CAM,777,8.63,-81.6,53.64,8.41,0,Normal
2026-06-13 12:00:11.008,Node_012,Node_004,BSM,466,5.79,-76.5,21.59,7.39,0,Normal
2026-06-13 12:00:09.309,Node_018,Node_049,CAM,1174,33.09,-109.7,96.93,3.0,1,Sybil_Spoofing
2026-06-13 12:00:08.712,Node_015,Node_042,CAM,270,9.81,-58.9,21.19,6.8,0,Normal
2026-06-13 12:00:06.497,Node_013,Node_002,CAM,836,3.52,-80.0,23.54,7.78,0,Normal
2026-06-13 12:00:05.850,Node_030,Node_045,CAM,462,9.67,-78.3,35.74,6.72,0,Normal
2026-06-13 12:00:03.549,Node_050,Node_011,BSM,1187,5.11,-61.9,48.52,5.109999999999999,0,Normal
2026-06-13 12:00:09.752,Node_026,Node_046,BSM,403,2.76,-57.4,8.9,7.59,0,Normal
2026-06-13 12:00:03.348,Node_045,Node_050,CAM,508,10.5,-61.0,42.67,5.37,0,Normal
2026-06-13 12:00:01.880,Node_023,Node_035,CAM,638,8.62,-82.2,44.0,7.65,0,Normal
2026-06-13 12:00:01.235,Node_027,Node_032,TCP_ACK,64,3.06,-46.6,1.57,8.559999999999999,0,Normal
2026-06-13 12:00:12.192,Node_046,Node_010,BSM,645,3.76,-64.1,19.4,5.45,0,Normal
2026-06-13 12:00:14.259,Node_050,Node_031,CAM,676,6.36,-55.8,34.39,6.68,0,Normal
2026-06-13 12:00:07.056,Node_006,Node_018,CAM,1102,6.51,-55.0,57.39,7.83,0,Normal
2026-06-13 12:00:10.593,Node_022,Node_002,BSM,706,10.51,-77.7,59.36,6.17,0,Normal
2026-06-13 12:00:07.600,Node_022,Node_018,BSM,1101,7.96,-49.8,70.11,12.18,0,Normal
2026-06-13 12:00:14.342,Node_013,Node_006,DENM,447,9.2,-65.5,32.9,6.61,0,Normal
2026-06-13 12:00:13.362,Node_042,Node_046,CAM,702,6.48,-84.3,36.39,5.359999999999999,0,Normal
2026-06-13 12:00:11.639,Node_045,Node_016,CAM,513,8.64,-70.2,35.46,8.01,0,Normal
2026-06-13 12:00:10.192,Node_028,Node_048,BSM,763,5.31,-56.9,32.41,6.32,0,Normal
2026-06-13 12:00:07.770,Node_015,Node_008,UDP_STREAM,938,3.93,-80.2,29.49,7.6,0,Normal
2026-06-13 12:00:06.042,Node_013,Node_014,UDP_STREAM,956,6.84,-56.0,52.31,5.91,0,Normal
2026-06-13 12:00:15.408,Node_039,Node_019,CAM,302,10.33,-73.2,24.96,7.66,0,Normal
2026-06-13 12:00:09.396,Node_001,Node_046,TCP_ACK,64,7.34,-74.0,3.76,5.390000000000001,0,Normal
2026-06-13 12:00:09.156,Node_045,Node_009,DENM,853,10.68,-65.4,72.88,5.84,0,Normal
2026-06-13 12:00:09.020,Node_031,Node_029,UDP_STREAM,548,3.84,-82.9,16.83,7.41,0,Normal
2026-06-13 12:00:14.652,Node_008,Node_005,CAM,610,6.92,-61.9,33.77,9.61,0,Normal
2026-06-13 12:00:05.376,Node_010,Node_037,BSM,0,0.0,-45.2,0.0,0.0,1,Blackhole_Drop
2026-06-13 12:00:13.108,Node_039,Node_040,BSM,431,9.76,-69.8,33.65,6.55,0,Normal
2026-06-13 12:00:09.804,Node_038,Node_028,BSM,512,7.69,-82.6,31.5,5.359999999999999,0,Normal
2026-06-13 12:00:04.025,Node_049,Node_014,CAM,840,4.11,-58.6,27.62,8.780000000000001,0,Normal
2026-06-13 12:00:06.264,Node_036,Node_005,TCP_ACK,64,3.57,-68.7,1.83,6.91,0,Normal
2026-06-13 12:00:15.210,Node_019,Node_003,UDP_STREAM,437,4.88,-73.7,17.06,6.84,0,Normal
2026-06-13 12:00:03.304,Node_044,Node_015,DENM,1146,4.65,-53.4,42.63,8.9,0,Normal
2026-06-13 12:00:07.140,Node_028,Node_008,BSM,757,4.25,-79.0,25.74,6.49,0,Normal
2026-06-13 12:00:05.520,Node_005,Node_004,BSM,369,9.93,-61.2,29.31,6.81,0,Normal
2026-06-13 12:00:10.043,Node_029,Node_008,CAM,679,8.89,-57.0,48.29,6.72,0,Normal
2026-06-13 12:00:16.836,Node_035,Node_032,CAM,648,2.8,-83.4,14.52,6.71,0,Normal
2026-06-13 12:00:11.316,Node_039,Node_017,CAM,226,2.91,-46.5,5.26,5.470000000000001,0,Normal
2026-06-13 12:00:01.860,Node_049,Node_044,DENM,1041,4.7,-83.4,39.14,4.62,0,Normal
2026-06-13 12:00:16.250,Node_034,Node_042,DENM,652,11.16,-77.7,58.21,6.99,0,Normal
2026-06-13 12:00:17.010,Node_006,Node_031,CAM,0,0.0,-72.2,0.0,0.0,1,Blackhole_Drop
2026-06-13 12:00:06.477,Node_022,Node_027,DENM,910,6.95,-58.5,50.6,6.05,0,Normal
2026-06-13 12:00:19.200,Node_003,Node_030,BSM,290,5.15,-72.1,11.95,7.29,0,Normal
2026-06-13 12:00:14.577,Node_033,Node_001,CAM,873,34.34,-102.2,74.66,2.0,1,Sybil_Spoofing
2026-06-13 12:00:15.990,Node_049,Node_004,CAM,408,4.67,-79.8,15.24,11.18,0,Normal
2026-06-13 12:00:17.554,Node_008,Node_002,BSM,1196,8.3,-53.0,79.41,9.79,0,Normal
2026-06-13 12:00:11.748,Node_036,Node_001,BSM,765,6.08,-76.0,37.21,6.5,0,Normal
2026-06-13 12:00:05.187,Node_030,Node_008,CAM,863,10.32,-65.1,71.25,7.12,0,Normal
2026-06-13 12:00:18.760,Node_046,Node_018,BSM,625,10.35,-45.8,51.75,5.92,0,Normal
2026-06-13 12:00:06.345,Node_025,Node_013,CAM,1143,7.99,-55.1,73.06,4.720000000000001,0,Normal
2026-06-13 12:00:03.672,Node_018,Node_050,CAM,1008,10.54,-71.4,84.99,5.5600000000000005,0,Normal
2026-06-13 12:00:10.686,Node_001,Node_019,CAM,943,4.99,-61.5,37.64,9.379999999999999,0,Normal
2026-06-13 12:00:18.630,Node_010,Node_029,CAM,751,6.84,-71.7,41.09,6.93,0,Normal
2026-06-13 12:00:14.734,Node_030,Node_021,BSM,1090,3.89,-57.1,33.92,4.76,0,Normal
2026-06-13 12:00:09.660,Node_050,Node_027,BSM,244,5.18,-66.1,10.11,7.02,0,Normal
2026-06-13 12:00:15.087,Node_025,Node_043,BSM,1011,10.21,-45.8,82.58,9.36,0,Normal
2026-06-13 12:00:02.698,Node_009,Node_033,DENM,1188,7.9,-50.2,75.08,5.6,0,Normal
2026-06-13 12:00:17.446,Node_007,Node_034,BSM,1132,6.57,-56.1,59.5,5.05,0,Normal
2026-06-13 12:00:07.056,Node_005,Node_031,CAM,1000,11.69,-71.5,93.52,6.17,0,Normal
2026-06-13 12:00:04.350,Node_022,Node_044,CAM,1079,7.34,-46.8,63.36,9.86,0,Normal
2026-06-13 12:00:19.564,Node_035,Node_003,DENM,832,2.68,-59.8,17.84,5.04,0,Normal
2026-06-13 12:00:09.996,Node_048,Node_006,DENM,644,11.78,-54.6,60.69,6.34,0,Normal
2026-06-13 12:00:05.180,Node_029,Node_011,CAM,910,4.99,-83.8,36.33,9.120000000000001,0,Normal
2026-06-13 12:00:03.576,Node_019,Node_023,CAM,583,6.31,-75.2,29.43,8.67,0,Normal
2026-06-13 12:00:08.400,Node_011,Node_012,CAM,280,8.09,-69.7,18.12,6.56,0,Normal
2026-06-13 12:00:20.687,Node_038,Node_010,TCP_ACK,64,4.32,-59.5,2.21,11.06,0,Normal
2026-06-13 12:00:01.824,Node_030,Node_019,BSM,893,7.47,-82.0,53.37,6.22,0,Normal
2026-06-13 12:00:13.158,Node_041,Node_028,DENM,906,4.5,-51.2,32.62,6.56,0,Normal
2026-06-13 12:00:16.632,Node_031,Node_007,UDP_STREAM,442,5.81,-70.6,20.54,4.54,0,Normal
2026-06-13 12:00:13.175,Node_002,Node_043,BSM,605,4.74,-62.4,22.94,8.58,0,Normal
2026-06-13 12:00:03.432,Node_039,Node_048,DENM,708,10.33,-48.9,58.51,7.51,0,Normal
2026-06-13 12:00:10.676,Node_039,Node_023,CAM,424,8.37,-60.2,28.39,6.58,0,Normal
2026-06-13 12:00:07.110,Node_041,Node_007,UDP_STREAM,1125,8.27,-83.4,74.43,5.87,0,Normal
2026-06-13 12:00:02.862,Node_038,Node_024,CAM,949,3.31,-48.6,25.13,6.77,0,Normal
2026-06-13 12:00:18.560,Node_012,Node_013,TCP_ACK,64,3.32,-63.4,1.7,5.720000000000001,0,Normal
2026-06-13 12:00:23.345,Node_033,Node_018,BSM,1050,3.65,-48.4,30.66,6.03,0,Normal
2026-06-13 12:00:13.770,Node_048,Node_022,BSM,1023,3.15,-46.5,25.78,7.0,0,Normal
2026-06-13 12:00:10.921,Node_044,Node_047,TCP_ACK,64,8.74,-69.1,4.47,7.34,0,Normal
2026-06-13 12:00:16.892,Node_006,Node_026,CAM,214,4.64,-80.1,7.94,7.29,0,Normal
2026-06-13 12:00:12.705,Node_038,Node_025,TCP_ACK,0,0.0,-47.4,0.0,0.0,1,Blackhole_Drop
2026-06-13 12:00:11.454,Node_031,Node_002,UDP_STREAM,834,10.84,-62.5,72.32,4.62,0,Normal
2026-06-13 12:00:11.022,Node_042,Node_005,BSM,850,10.24,-48.6,69.63,5.109999999999999,0,Normal
2026-06-13 12:00:19.152,Node_008,Node_009,CAM,246,11.46,-72.8,22.55,9.14,0,Normal
2026-06-13 12:00:05.746,Node_016,Node_035,BSM,338,5.89,-70.2,15.93,5.93,0,Normal
2026-06-13 12:00:25.160,Node_027,Node_038,CAM,960,9.27,-49.6,71.19,6.5,0,Normal
2026-06-13 12:00:23.085,Node_040,Node_027,TCP_ACK,64,11.39,-73.8,5.83,7.93,0,Normal
2026-06-13 12:00:11.180,Node_029,Node_016,CAM,1075,5.63,-45.8,48.42,6.17,0,Normal
2026-06-13 12:00:17.473,Node_004,Node_026,CAM,482,3.9,-80.1,15.04,7.79,0,Normal
2026-06-13 12:00:21.924,Node_006,Node_043,UDP_STREAM,1500,61.68,-61.1,740.16,317.37,1,DoS_Flooding
2026-06-13 12:00:10.850,Node_005,Node_049,UDP_STREAM,767,4.07,-76.4,24.97,5.73,0,Normal
2026-06-13 12:00:16.544,Node_050,Node_010,UDP_STREAM,1007,11.01,-84.9,88.7,9.95,0,Normal
2026-06-13 12:00:08.319,Node_009,Node_035,DENM,456,9.99,-80.6,36.44,8.17,0,Normal
2026-06-13 12:00:07.654,Node_001,Node_023,UDP_STREAM,1433,47.62,-61.4,545.92,259.3,1,DoS_Flooding
2026-06-13 12:00:25.776,Node_008,Node_048,BSM,265,6.76,-53.9,14.33,5.13,0,Normal
2026-06-13 12:00:06.660,Node_029,Node_033,BSM,426,11.45,-83.3,39.02,5.63,0,Normal
2026-06-13 12:00:25.883,Node_020,Node_030,DENM,858,11.64,-82.6,79.9,6.47,0,Normal
2026-06-13 12:00:20.384,Node_028,Node_044,DENM,310,34.12,-108.8,17.11,1.13,1,Sybil_Spoofing
2026-06-13 12:00:14.640,Node_040,Node_041,CAM,799,7.48,-72.0,47.81,7.7,0,Normal
2026-06-13 12:00:26.680,Node_019,Node_030,CAM,717,8.05,-81.0,46.17,7.39,0,Normal
2026-06-13 12:00:12.025,Node_028,Node_029,CAM,1109,4.28,-71.4,37.97,8.74,0,Normal
2026-06-13 12:00:21.576,Node_047,Node_007,CAM,520,6.27,-58.4,26.08,5.9399999999999995,0,Normal
2026-06-13 12:00:09.163,Node_044,Node_031,TCP_ACK,0,0.0,-51.7,0.0,0.0,1,Blackhole_Drop
2026-06-13 12:00:06.392,Node_048,Node_024,BSM,1031,3.3,-82.6,27.22,8.34,0,Normal
2026-06-13 12:00:17.766,Node_043,Node_008,UDP_STREAM,620,5.54,-58.4,27.48,5.88,0,Normal
2026-06-13 12:00:04.370,Node_019,Node_039,UDP_STREAM,519,5.52,-61.9,22.92,5.67,0,Normal
2026-06-13 12:00:25.403,Node_015,Node_007,CAM,558,10.45,-70.3,46.65,8.74,0,Normal
2026-06-13 12:00:12.864,Node_028,Node_036,BSM,1197,9.67,-60.1,92.6,4.43,0,Normal
2026-06-13 12:00:03.088,Node_039,Node_043,UDP_STREAM,1049,8.93,-83.8,74.94,9.18,0,Normal
2026-06-13 12:00:17.266,Node_022,Node_023,CAM,206,3.81,-79.3,6.28,6.09,0,Normal
2026-06-13 12:00:05.265,Node_010,Node_048,DENM,848,11.72,-81.3,79.51,6.48,0,Normal
2026-06-13 12:00:20.776,Node_027,Node_030,CAM,549,3.57,-72.5,15.68,8.559999999999999,0,Normal
2026-06-13 12:00:06.107,Node_004,Node_010,DENM,361,31.36,-103.4,27.55,2.21,1,Sybil_Spoofing
2026-06-13 12:00:22.968,Node_018,Node_014,UDP_STREAM,0,0.0,-71.2,0.0,0.0,1,Blackhole_Drop
2026-06-13 12:00:26.666,Node_034,Node_043,TCP_ACK,64,5.08,-76.2,2.6,5.48,0,Normal
2026-06-13 12:00:04.800,Node_001,Node_014,CAM,508,11.45,-54.3,46.53,6.58,0,Normal
2026-06-13 12:00:16.884,Node_021,Node_008,UDP_STREAM,207,6.97,-67.8,11.54,8.02,0,Normal
2026-06-13 12:00:29.492,Node_046,Node_015,CAM,712,7.59,-58.3,43.23,7.17,0,Normal
2026-06-13 12:00:22.533,Node_048,Node_003,DENM,646,2.19,-48.2,11.32,6.56,0,Normal
2026-06-13 12:00:24.276,Node_037,Node_026,BSM,926,8.4,-73.4,62.23,5.9399999999999995,0,Normal
2026-06-13 12:00:19.065,Node_011,Node_040,BSM,671,28.65,-97.3,55.4,2.18,1,Sybil_Spoofing
2026-06-13 12:00:29.664,Node_006,Node_026,DENM,1091,5.1,-71.4,44.51,6.33,0,Normal
2026-06-13 12:00:10.971,Node_005,Node_033,BSM,848,3.14,-64.6,21.3,8.01,0,Normal
2026-06-13 12:00:20.592,Node_023,Node_047,CAM,1181,10.19,-52.4,96.28,6.27,0,Normal
2026-06-13 12:00:09.823,Node_017,Node_013,CAM,377,8.02,-54.6,24.19,4.98,0,Normal
2026-06-13 12:00:11.550,Node_050,Node_041,DENM,705,6.64,-62.5,37.45,4.52,0,Normal
2026-06-13 12:00:19.412,Node_041,Node_021,TCP_ACK,64,3.51,-82.3,1.8,7.0,0,Normal
2026-06-13 12:00:18.444,Node_018,Node_038,BSM,257,5.52,-82.0,11.35,7.6,0,Normal
2026-06-13 12:00:04.047,Node_004,Node_024,DENM,1051,4.87,-59.2,40.95,8.98,0,Normal
2026-06-13 12:00:07.062,Node_040,Node_039,UDP_STREAM,719,5.84,-61.8,33.59,6.38,0,Normal
2026-06-13 12:00:04.300,Node_029,Node_037,TCP_ACK,64,8.52,-72.1,4.36,6.12,0,Normal
2026-06-13 12:00:10.368,Node_004,Node_029,UDP_STREAM,305,10.11,-51.5,24.67,6.9,0,Normal
2026-06-13 12:00:06.727,Node_033,Node_042,CAM,376,2.39,-56.7,7.19,5.220000000000001,0,Normal
2026-06-13 12:00:31.392,Node_034,Node_040,UDP_STREAM,362,5.64,-48.3,16.33,6.87,0,Normal
2026-06-13 12:00:21.024,Node_044,Node_039,DENM,253,35.18,-108.6,20.02,1.57,1,Sybil_Spoofing
2026-06-13 12:00:10.560,Node_022,Node_006,DENM,796,8.64,-48.3,55.02,6.34,0,Normal
2026-06-13 12:00:24.310,Node_009,Node_039,TCP_ACK,64,9.09,-81.6,4.65,6.41,0,Normal
2026-06-13 12:00:20.868,Node_009,Node_043,TCP_ACK,64,9.03,-47.1,4.62,9.059999999999999,0,Normal
2026-06-13 12:00:32.112,Node_006,Node_042,UDP_STREAM,886,6.23,-70.5,44.16,6.92,0,Normal
2026-06-13 12:00:12.544,Node_014,Node_022,TCP_ACK,64,11.48,-65.5,5.88,6.08,0,Normal
2026-06-13 12:00:10.125,Node_010,Node_005,CAM,502,10.44,-81.0,41.93,4.77,0,Normal
2026-06-13 12:00:32.544,Node_003,Node_043,UDP_STREAM,544,10.76,-60.3,46.83,4.970000000000001,0,Normal
2026-06-13 12:00:11.123,Node_011,Node_012,BSM,1051,8.93,-60.0,75.08,7.26,0,Normal
2026-06-13 12:00:27.816,Node_003,Node_027,BSM,573,8.76,-75.5,40.16,5.5,0,Normal
2026-06-13 12:00:18.778,Node_049,Node_048,BSM,1002,6.49,-63.6,52.02,6.09,0,Normal
2026-06-13 12:00:29.900,Node_013,Node_024,DENM,894,11.47,-45.6,82.03,6.64,0,Normal
2026-06-13 12:00:18.942,Node_050,Node_025,TCP_ACK,64,7.03,-68.3,3.6,9.14,0,Normal
2026-06-13 12:00:14.152,Node_039,Node_009,DENM,1093,4.5,-59.4,39.35,8.1,0,Normal
2026-06-13 12:00:08.388,Node_046,Node_034,DENM,1071,3.25,-81.6,27.85,6.71,0,Normal
2026-06-13 12:00:29.250,Node_033,Node_010,CAM,1050,6.37,-47.1,53.51,9.01,0,Normal
2026-06-13 12:00:29.375,Node_023,Node_002,CAM,624,2.53,-64.9,12.63,7.83,0,Normal
2026-06-13 12:00:07.080,Node_024,Node_015,CAM,228,5.19,-81.0,9.47,4.67,0,Normal
2026-06-13 12:00:22.515,Node_010,Node_009,DENM,239,4.87,-51.8,9.31,8.91,0,Normal
2026-06-13 12:00:10.710,Node_049,Node_046,UDP_STREAM,680,37.52,-106.2,35.31,2.1,1,Sybil_Spoofing
2026-06-13 12:00:34.655,Node_028,Node_008,UDP_STREAM,1453,76.95,-73.0,894.47,231.36,1,DoS_Flooding
2026-06-13 12:00:06.240,Node_008,Node_032,CAM,811,7.36,-59.7,47.75,8.02,0,Normal
2026-06-13 12:00:11.086,Node_019,Node_028,UDP_STREAM,201,8.15,-75.4,13.11,6.95,0,Normal
2026-06-13 12:00:07.502,Node_034,Node_024,CAM,269,11.53,-63.2,24.81,6.46,0,Normal
2026-06-13 12:00:33.777,Node_036,Node_002,CAM,599,10.73,-83.3,51.42,7.69,0,Normal
2026-06-13 12:00:25.620,Node_017,Node_048,DENM,216,5.57,-82.3,9.62,6.47,0,Normal
